id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code
4650,03N,small_airport,Utirik Airport,11.222,169.852005,4,OC,MH,MH-UTI,Utirik Island,yes,K03N,UTK,03N
6924,07FA,small_airport,Ocean Reef Club Airport,25.3253994,-80.27480316,8,NA,US,US-FL,Key Largo,no,07FA,OCA,07FA
7063,0AK,small_airport,Pilot Station Airport,61.934601,-162.899994,305,NA,US,US-AK,Pilot Station,yes,,PQS,0AK
7139,0CO2,small_airport,Crested Butte Airpark,38.851918,-106.928341,8980,NA,US,US-CO,Crested Butte,no,0CO2,CSE,0CO2
7545,0TE7,small_airport,LBJ Ranch Airport,30.25180054,-98.62249756,1515,NA,US,US-TX,Johnson City,no,0TE7,JCY,0TE7
7830,13MA,closed,Metropolitan Airport,42.22330093,-72.31140137,418,NA,US,US-MA,Palmer,no,,PMX,
7866,13Z,seaplane_base,Loring Seaplane Base,55.60129929,-131.6369934,0,NA,US,US-AK,Loring,no,13Z,WLR,13Z
7977,16A,small_airport,Nunapitchuk Airport,60.905591,-162.440454,12,NA,US,US-AK,Nunapitchuk,yes,PPIT,NUP,16A
7994,16K,seaplane_base,Port Alice Seaplane Base,55.803,-133.597,0,NA,US,US-AK,Port Alice,no,16K,PTC,16K
8126,19AK,small_airport,Icy Bay Airport,59.96900177,-141.6620026,50,NA,US,US-AK,Icy Bay,no,19AK,ICY,19AK
8159,19P,seaplane_base,Port Protection Seaplane Base,56.3288002,-133.6100006,0,NA,US,US-AK,Port Protection,yes,19P,PPV,19P
8383,1KC,small_airport,Kalakaket Creek AS Airport,64.4166257,-156.8203926,1598,NA,US,US-AK,Kalakaket Creek,no,1KC,KKK,1KC
8566,1O6,small_airport,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,3258,NA,US,US-CA,Dunsmuir,no,KMHS,MHS,1O6
8753,1XA2,small_airport,Chase Field Industrial Airport,28.362444,-97.661917,190,NA,US,US-TX,Beeville,no,,NIR,TX2
8774,1Z1,small_airport,Grand Canyon Bar Ten Airstrip,36.259701,-113.231003,4100,NA,US,US-AZ,Littlefield,no,,GCT,1Z1
